Date,Close,High,Low,Open,Volume
,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS
2006-10-19,8.55742073059082,8.90758117508321,8.354696383429802,8.477560689733657,4016426
2006-10-20,8.624993324279785,8.907578388343428,8.52055999616247,8.597349208013437,2387420
2006-10-23,8.419198036193848,8.680282138433109,8.388482349395362,8.680282138433109,1209603
2006-10-26,8.3331937789917,8.53284651794309,8.296335717382481,8.323979836928526,890255
2006-10-27,8.686424255371094,8.876862255602484,8.29326274608427,8.29326274608427,4688238
2006-10-30,8.413055419921875,8.778572879915403,8.237975229874259,8.66185326285178,2319672
2006-10-31,8.305550575256348,8.74785883012067,8.23183291500509,8.50520333622243,2619408
2006-11-01,8.237974166870117,8.492915114643377,8.182685934342633,8.382337885136325,1337125
2006-11-02,8.459127426147461,8.53898820235551,8.28711883601654,8.290190404332236,3436645
2006-11-03,8.394624710083008,8.538988424679333,8.330121009321946,8.474486252822402,1667016
2006-11-06,8.969009399414062,9.180947597589432,8.314762338543007,8.468341507469903,13483537
2006-11-07,9.067302703857422,9.454321180994866,8.993585044298337,9.088803687895489,9470073
2006-11-08,8.66799545288086,9.153304810199222,8.419197637153145,9.079587165376818,4064757
2006-11-09,9.134876251220703,9.337600557847331,8.732499206788273,8.7601433261757,6247461
2006-11-10,9.328386306762695,9.485037088724066,9.061159041853678,9.184021800684395,9197778
2006-11-13,9.134876251220703,9.58332682796551,8.999727223104397,9.399031934263833,7046377
2006-11-14,8.993584632873535,9.362173678259557,8.861506401086704,9.276168981589452,5955176
2006-11-15,8.990511894226074,9.214737167075295,8.895292502920393,9.144091089087166,2153879
2006-11-16,9.86898422241211,9.890485204082081,9.030442115022398,9.076515647172336,36197017
2006-11-17,9.580255508422852,10.56623294782369,9.316099818506393,10.099352181553527,35148784
2006-11-20,9.248525619506836,9.546469341990045,8.94443952346391,9.546469341990045,8379863
2006-11-21,9.853625297546387,10.099351558908861,9.337600225130409,9.340671793841787,12936220
2006-11-22,10.265215873718262,10.590802860535966,9.733832292916349,9.979558508210388,21354459
2006-11-23,11.294198036193848,11.294198036193848,10.326649927482194,10.326649927482194,20086164
2006-11-24,12.424537658691406,12.424537658691406,11.733432395468403,11.856295910119053,17781823
2006-11-27,12.455251693725586,13.044995109789916,11.804076910712489,13.044995109789916,50517260
2006-11-28,12.68562126159668,12.90063259477682,11.899297398317039,12.224884437815515,34535468
2006-11-29,13.32143783569336,13.32143783569336,12.839198545681889,12.839198545681889,18023493
2006-11-30,13.140213012695312,13.987968888211658,12.955917392985137,13.987968888211658,16847124
2006-12-01,13.201645851135254,13.723815557895552,13.054210562019419,13.324510120969308,12315467
2006-12-04,13.306079864501953,13.637810810958863,13.21086123538962,13.43815884669107,7267940
2006-12-05,12.949779510498047,13.972615066496122,12.869917185939176,13.637812509655872,12854850
2006-12-06,13.597881317138672,13.597881317138672,12.317032505746736,13.392086201902506,107316559
2006-12-07,14.279769897460938,14.279769897460938,13.757601703630257,14.129263035217434,9817357
2006-12-08,14.464064598083496,14.995447463036719,13.926538596297338,14.682145955652773,26910222
2006-12-11,14.986234664916992,15.188959735106605,13.82210702912164,14.620716447937683,24381018
2006-12-12,14.236771583557129,15.41932873490791,14.236771583557129,15.050738917107283,19198400
2006-12-13,14.4149169921875,14.860295863889842,13.527230816664185,13.822102862179458,18357546
2006-12-14,14.599213600158691,14.952445496757132,14.4978518424725,14.55928321076716,8505937
2006-12-15,14.295129776000977,14.89101563776009,14.12926353588967,14.743580338909412,8918541
2006-12-18,14.5654296875,14.706723395880996,14.086263376023012,14.344276710928078,6298037
2006-12-19,13.880468368530273,14.55928667878473,13.837466400480954,14.374992530001936,5310648
2006-12-20,13.539521217346191,14.187623766871125,13.24772065072168,13.837464921606918,5845921
2006-12-21,13.64395523071289,14.178409760351883,13.33372523586484,13.582523851318111,4883625
2006-12-22,13.647025108337402,13.938825653202692,13.576379030788933,13.809818243557785,2445720
2006-12-26,13.883537292480469,14.129262777373388,13.637810278683338,13.699243178810779,2769008
2006-12-27,14.577714920043945,14.577714920043945,13.82210744196225,14.006401575907937,8369189
2006-12-28,14.196839332580566,14.909444793672938,14.089332900113439,14.688291849200768,6414846
2006-12-29,14.018688201904297,14.479425077189106,13.944970546483436,14.252127444070362,2783349
2007-01-02,14.236771583557129,14.451781418746556,14.037118064833908,14.12926513705795,2117578
2007-01-03,14.150763511657715,14.52242483001078,13.855892934904885,14.374989541634363,3567325
2007-01-04,13.966470718383789,14.328917365396157,13.926540324015953,14.21834088868523,2319803
2007-01-05,14.488637924194336,14.620715373201786,13.883537384721093,14.012543265146975,7521602
2007-01-08,14.307415962219238,14.620715970334906,14.2029810972764,14.436421847913925,4855140
2007-01-09,13.797536849975586,14.460997355293705,13.637813715638103,14.325848304542802,3736681
2007-01-10,13.524160385131836,13.825174062798235,13.459657454203322,13.825174062798235,2315275
2007-01-11,13.696171760559082,13.88353899466623,13.14635939179744,13.686957053745832,3425462
2007-01-12,13.831320762634277,14.006401720595665,13.637811919992338,13.822107584746199,3908685
2007-01-15,13.911184310913086,13.975687264150517,13.668528815067743,13.969544125746951,2626428
2007-01-16,13.68081283569336,14.006400646292269,13.514948126150811,14.006400646292269,3569791
2007-01-17,14.07397174835205,14.365772232618559,13.643950706282206,13.748385545526412,11042788
2007-01-18,13.957259178161621,14.436425548177697,13.518023211571496,14.129267069842635,5851532
2007-01-19,13.659313201904297,14.602287942145093,13.269222410234864,14.602287942145093,3674074
2007-01-22,13.674674034118652,14.006405087289675,13.576383804706428,13.776035833200009,2311452
2007-01-23,13.475016593933105,13.75760089000477,13.395155814608504,13.5794499207422,2611696
2007-01-24,13.533376693725586,13.81596252495551,13.45965904964061,13.81596252495551,1968578
2007-01-25,13.671597480773926,13.852820025192083,13.518019053300911,13.662382775125545,2096701
2007-01-29,13.6009521484375,14.245984636931455,13.392085475644139,13.760673721750068,6221664
2007-01-31,14.156907081604004,14.282842923180938,13.576379086964632,13.576379086964632,10135347
2007-02-01,14.583858489990234,14.851086521034345,13.883539231340423,14.34427610876155,8834248
2007-02-02,14.722078323364258,15.04459457933613,14.620716552000179,14.67600479092604,7616529
2007-02-05,14.725151062011719,14.805013386820187,14.282845115466474,14.74358200535557,4352436
2007-02-06,15.450040817260742,15.462327090687797,14.743578566301,14.783508954938927,14398976
2007-02-07,14.7835111618042,15.708056433013306,14.685220959715116,15.480758811777964,8341905
2007-02-08,14.577714920043945,15.032308646014352,14.399563923896448,14.743581169499443,4926163
2007-02-09,13.855891227722168,14.620713220845378,13.849746562559384,14.620713220845378,5371493
2007-02-12,12.90063190460205,13.883536872229906,12.479825495556401,13.822105502866185,8446671
2007-02-13,13.204718589782715,13.607095630888482,12.298602737321959,12.60268957697394,6941703
2007-02-14,14.012543678283691,14.28284325033529,12.86991554553899,13.23850531509871,10903391
2007-02-15,13.932686805725098,14.371922778100732,13.825180343103739,14.215272731827879,10359728
2007-02-19,13.622452735900879,14.129263088558819,13.478089010346798,14.129263088558819,8571440
2007-02-20,13.401298522949219,13.75452888174363,13.333722490623579,13.643952421599293,3068379
2007-02-21,13.32143783569336,13.576378009405905,13.269219644703547,13.392083907926956,2598217
